run_id,sample_id,real,predito,erro_absoluto,feature_1,importancia_1_pct,feature_2,importancia_2_pct,feature_3,importancia_3_pct
run_20260716_221545,10,-8.161293029785156,-3.607055902481079,4.554237127304077,gyro_y_integral_rad,11.440625786781311,delta_z_m,7.664530724287033,delta_pitch_rad,7.332600653171539
run_20260715_215803,24,4.797026634216309,0.302437961101532,4.494588673114777,delta_pitch_rad,14.941492676734924,gyro_y_integral_rad,14.765621721744537,delta_gyro_y_rad_s,5.079092085361481
run_20260716_221545,32,3.6808955669403076,-0.38503462076187134,4.065930187702179,gyro_y_integral_rad,13.918207585811615,delta_pitch_rad,13.043072819709778,delta_z_m,7.581547647714615
run_20260716_221545,17,-3.209096670150757,0.7058572769165039,3.9149539470672607,gyro_y_integral_rad,14.257204532623291,delta_pitch_rad,13.311697542667389,delta_gyro_y_rad_s,5.393531173467636
run_20260716_221545,19,3.3825392723083496,-0.19829276204109192,3.5808320343494415,gyro_y_integral_rad,11.53634563088417,delta_pitch_rad,10.951675474643707,delta_z_m,6.829966604709625
run_20260716_221545,30,-3.1015007495880127,0.3645462989807129,3.4660470485687256,gyro_y_integral_rad,13.568417727947235,delta_pitch_rad,11.199143528938293,delta_gyro_y_rad_s,7.92313739657402
run_20260715_215803,13,-2.672339916229248,0.7333455085754395,3.4056854248046875,gyro_y_integral_rad,15.156081318855286,delta_pitch_rad,13.216835260391235,delta_gyro_y_rad_s,7.166799157857895
run_20260715_215803,15,-3.612104654312134,-0.3808230459690094,3.2312816083431244,gyro_y_integral_rad,11.312682181596756,delta_pitch_rad,10.115990042686462,delta_z_m,7.4114590883255005
run_20260716_221545,27,4.418550968170166,1.2222003936767578,3.196350574493408,gyro_y_integral_rad,11.949951946735382,delta_pitch_rad,11.934342980384827,delta_z_m,7.836231589317322
run_20260715_215803,12,-2.9959452152252197,-0.15644526481628418,2.8394999504089355,delta_pitch_rad,13.255439698696136,gyro_y_integral_rad,12.263814359903336,delta_z_m,5.792538076639175
run_20260715_215803,39,1.9530740976333618,-0.801511287689209,2.754585385322571,gyro_y_integral_rad,14.298637211322784,delta_pitch_rad,11.007849127054214,delta_z_m,7.050608843564987
run_20260716_221545,9,-4.421538352966309,-1.751656413078308,2.6698819398880005,gyro_y_integral_rad,13.915693759918213,delta_pitch_rad,11.839108914136887,delta_z_m,8.288629353046417
