alvo_delta,feature,grupo,importancia,importancia_pct,ranking_no_alvo
delta_depth_close_2m_pp,delta_yaw_heading_rad,IMU e atitude,0.020972279831767082,2.097227983176708,19
delta_depth_close_2m_pp,delta_z_m,Movimento,0.0239582397043705,2.39582397043705,16
delta_depth_close_2m_pp,depth_age_s,Sincronizacao,0.017607994377613068,1.7607994377613068,25
delta_depth_close_2m_pp,depth_dt_s,Sincronizacao,0.028362132608890533,2.8362132608890533,8
delta_depth_close_2m_pp,dt_s,Sincronizacao,0.018847789615392685,1.8847789615392685,23
delta_depth_close_2m_pp,flow_active_points,Optical flow e risco,0.0160116795450449,1.60116795450449,29
delta_depth_close_2m_pp,flow_mag_mean_px,Optical flow e risco,0.017503485083580017,1.7503485083580017,26
delta_depth_close_2m_pp,flow_mag_p90_px,Optical flow e risco,0.02670220658183098,2.670220658183098,11
delta_depth_close_2m_pp,flow_mean_x_px,Optical flow e risco,0.011889168061316013,1.1889168061316013,36
delta_depth_close_2m_pp,flow_mean_y_px,Optical flow e risco,0.01899394765496254,1.899394765496254,22
delta_depth_close_2m_pp,flow_track_retention_pct,Optical flow e risco,0.020164769142866135,2.0164769142866135,20
delta_depth_close_2m_pp,flow_valid_points,Optical flow e risco,0.02770262584090233,2.770262584090233,10
delta_depth_close_2m_pp,flow_vec_radial_mean,Optical flow e risco,0.009284555912017822,0.9284555912017822,41
delta_depth_close_2m_pp,flow_vec_rel_std,Optical flow e risco,0.01804746873676777,1.8047468736767769,24
delta_depth_close_2m_pp,flow_vec_risk_mean,Optical flow e risco,0.012003201059997082,1.2003201059997082,35
delta_depth_close_2m_pp,flow_vec_xy_mean,Optical flow e risco,0.014294670894742012,1.4294670894742012,32
delta_depth_close_2m_pp,gyro_x_integral_rad,IMU e atitude,0.036564234644174576,3.6564234644174576,5
delta_depth_close_2m_pp,gyro_y_integral_rad,IMU e atitude,0.06508579105138779,6.508579105138779,2
delta_depth_close_2m_pp,gyro_z_integral_rad,IMU e atitude,0.02586344536393881,2.586344536393881,15
delta_depth_close_2m_pp,img_delta_abs_mean,Diferenca de imagem,0.011703148484230042,1.1703148484230042,37
delta_depth_close_2m_pp,img_delta_abs_p90,Diferenca de imagem,0.01126089971512556,1.126089971512556,39
delta_depth_close_2m_pp,img_delta_mean,Diferenca de imagem,0.008434420451521873,0.8434420451521873,43
delta_depth_close_2m_pp,img_delta_std,Diferenca de imagem,0.038316357880830765,3.8316357880830765,4
delta_depth_close_2m_pp,pan_comp_delta_rad,Comandos reativos,0.033432179130613804,3.3432179130613804,6
delta_depth_close_2m_pp,point_risk_mean_delta_basis,Optical flow e risco,0.008906809613108635,0.8906809613108635,42
delta_depth_close_2m_pp,point_risk_p75_delta_basis,Optical flow e risco,0.026681285351514816,2.6681285351514816,12
delta_depth_close_2m_pp,radial_flow_mean_px,Optical flow e risco,0.013281703926622868,1.3281703926622868,34
delta_depth_close_2m_pp,radial_flow_p90_px,Optical flow e risco,0.014946234412491322,1.4946234412491322,30
delta_depth_close_5m_pp,delta_accel_x_m_s2,IMU e atitude,0.02662516199052334,2.662516199052334,10
delta_depth_close_5m_pp,delta_accel_y_m_s2,IMU e atitude,0.02766118384897709,2.766118384897709,9
delta_depth_close_5m_pp,delta_accel_z_m_s2,IMU e atitude,0.016338463872671127,1.6338463872671127,28
delta_depth_close_5m_pp,delta_avoid_brake,Comandos reativos,0.011396381072700024,1.1396381072700024,41
delta_depth_close_5m_pp,delta_avoid_lateral_body,Comandos reativos,0.01929379068315029,1.9293790683150291,22
delta_depth_close_5m_pp,delta_gyro_x_rad_s,IMU e atitude,0.01540413498878479,1.540413498878479,30
delta_depth_close_5m_pp,delta_gyro_y_rad_s,IMU e atitude,0.028501173481345177,2.8501173481345177,8
delta_depth_close_5m_pp,delta_gyro_z_rad_s,IMU e atitude,0.010578581131994724,1.0578581131994724,42
delta_depth_close_5m_pp,delta_obstacle_risk,Comandos reativos,0.008194810710847378,0.8194810710847378,44
delta_depth_close_5m_pp,delta_pitch_rad,IMU e atitude,0.09200035408139229,9.200035408139229,1
delta_depth_close_5m_pp,delta_roll_rad,IMU e atitude,0.03643926978111267,3.643926978111267,4
delta_depth_close_5m_pp,delta_smooth_vx_m_s,Movimento,0.017911581322550774,1.7911581322550774,24
delta_depth_close_5m_pp,delta_smooth_vy_m_s,Movimento,0.020434003323316574,2.0434003323316574,19
delta_depth_close_5m_pp,delta_x_m,Movimento,0.023704925552010536,2.3704925552010536,15
delta_depth_close_5m_pp,delta_y_m,Movimento,0.017718510702252388,1.7718510702252388,25
delta_depth_close_5m_pp,delta_yaw_attitude_rad,IMU e atitude,0.026520324870944023,2.6520324870944023,11
delta_depth_close_5m_pp,delta_yaw_heading_rad,IMU e atitude,0.023963894695043564,2.3963894695043564,14
delta_depth_close_5m_pp,delta_z_m,Movimento,0.020419547334313393,2.0419547334313393,20
delta_depth_close_5m_pp,depth_age_s,Sincronizacao,0.024337444454431534,2.4337444454431534,13
delta_depth_close_5m_pp,depth_dt_s,Sincronizacao,0.03017645701766014,3.017645701766014,7
delta_depth_close_5m_pp,dt_s,Sincronizacao,0.02245374023914337,2.245374023914337,17
delta_depth_close_5m_pp,flow_active_points,Optical flow e risco,0.01732010580599308,1.732010580599308,27
delta_depth_close_5m_pp,flow_mag_mean_px,Optical flow e risco,0.015909474343061447,1.5909474343061447,29
delta_depth_close_5m_pp,flow_mag_p90_px,Optical flow e risco,0.020806651562452316,2.0806651562452316,18
delta_depth_close_5m_pp,flow_mean_x_px,Optical flow e risco,0.014029141515493393,1.4029141515493393,34
delta_depth_close_5m_pp,flow_mean_y_px,Optical flow e risco,0.02363569289445877,2.363569289445877,16
delta_depth_close_5m_pp,flow_track_retention_pct,Optical flow e risco,0.01762835681438446,1.762835681438446,26
delta_depth_close_5m_pp,flow_valid_points,Optical flow e risco,0.019951429218053818,1.9951429218053818,21
delta_depth_close_5m_pp,flow_vec_radial_mean,Optical flow e risco,0.00895122904330492,0.895122904330492,43
delta_depth_close_5m_pp,flow_vec_rel_std,Optical flow e risco,0.013076823204755783,1.3076823204755783,37
delta_depth_close_5m_pp,flow_vec_risk_mean,Optical flow e risco,0.012753304094076157,1.2753304094076157,38
delta_depth_close_5m_pp,flow_vec_xy_mean,Optical flow e risco,0.013217627070844173,1.3217627070844173,36
delta_depth_close_5m_pp,gyro_x_integral_rad,IMU e atitude,0.037307245656847954,3.7307245656847954,3
delta_depth_close_5m_pp,gyro_y_integral_rad,IMU e atitude,0.07155488431453705,7.155488431453705,2
delta_depth_close_5m_pp,gyro_z_integral_rad,IMU e atitude,0.026433292776346207,2.6433292776346207,12
delta_depth_close_5m_pp,img_delta_abs_mean,Diferenca de imagem,0.011602915823459625,1.1602915823459625,39
delta_depth_close_5m_pp,img_delta_abs_p90,Diferenca de imagem,0.014992767944931984,1.4992767944931984,31
delta_depth_close_5m_pp,img_delta_mean,Diferenca de imagem,0.014718597754836082,1.4718597754836082,32
delta_depth_close_5m_pp,img_delta_std,Diferenca de imagem,0.032905250787734985,3.2905250787734985,6
