split,alvo_delta,MAE_medio,MAE_desvio,MAE_minimo,MAE_maximo,RMSE_medio,RMSE_desvio,corr_media,melhor_epoca_media,MAE_ic95
teste,delta_depth_close_10m_pp,0.8423338971325218,0.031791877781955614,0.8161416257902834,0.892528663505026,1.1600231613826208,0.02881241046635043,0.3415350056665069,75.6,0.027866809542304652
teste,delta_depth_close_2m_pp,1.0566283284629536,0.026800428416795623,1.0235444487981558,1.0979801496389283,1.6541624530942205,0.06840732262773924,0.08111091134805432,75.6,0.023491611268300253
teste,delta_depth_close_5m_pp,1.783368311536454,0.04362084484356648,1.7378282747955924,1.8375472878372208,2.8789175129033877,0.08681034939173558,0.13646124175801963,75.6,0.03823535632802484
teste,delta_depth_p10_m,0.09205435662921588,0.0033940788670411746,0.08872678624886957,0.09632765321739462,0.2388998389192089,0.007997714676755977,0.10393000074919685,75.6,0.002975041298538218
teste,delta_depth_p50_m,0.181953138836283,0.005621615154375341,0.1751227571153419,0.18965818064208043,0.27333847878195033,0.005205399787639058,0.10368990215385913,75.6,0.004927562942382284
teste,delta_depth_p90_m,0.9259241831729168,0.027312745461406388,0.8869119891389075,0.9638591428458235,1.6269750104656922,0.07753613830050421,-0.11717703235170891,75.6,0.023940676957510586
validacao,delta_depth_close_10m_pp,0.8581553067273276,0.02356215215251833,0.8229694684615585,0.8821392088590073,1.1601511758715501,0.02940884041307406,0.5644117752591975,75.6,0.020653136972415796
validacao,delta_depth_close_2m_pp,1.164120973923641,0.03385833588420202,1.120390941079035,1.1978100406351802,1.7158060330124936,0.035943615176991364,0.5426203473456968,75.6,0.02967813993170169
validacao,delta_depth_close_5m_pp,1.3687617843011257,0.03687214809180278,1.321724849544048,1.4182106781901573,1.788386630429022,0.034244186073787736,0.5216710190014913,75.6,0.03231986280700639
validacao,delta_depth_p10_m,0.06443935681561672,0.0020460786250865665,0.062326611546142004,0.0676433667978813,0.09342664849405204,0.0027274027067745485,0.3323530251196124,75.6,0.0017934669900571245
validacao,delta_depth_p50_m,0.19881989805575678,0.0020946204184768002,0.19649665555094972,0.2013256567365983,0.28212860517772986,0.005158163744938869,0.46773922613034385,75.6,0.0018360157479670872
validacao,delta_depth_p90_m,1.1623957406149223,0.022227394167659745,1.1474670574509647,1.201333108853642,3.2684213463306038,0.0396533304865619,0.1391064182748924,75.6,0.01948317001405526
