alvo_delta,feature,grupo,importancia,importancia_pct,ranking_no_alvo,representacao_angular
delta_depth_p50_m,depth_age_s,Sincronizacao,0.02238074690103531,2.238074690103531,13,seno/cosseno
delta_depth_p50_m,depth_dt_s,Sincronizacao,0.03389579430222511,3.3895794302225113,4,seno/cosseno
delta_depth_p50_m,delta_x_m,Movimento,0.020955124869942665,2.0955124869942665,15,seno/cosseno
delta_depth_p50_m,delta_y_m,Movimento,0.01574958860874176,1.574958860874176,26,seno/cosseno
delta_depth_p50_m,delta_z_m,Movimento,0.024356655776500702,2.43566557765007,10,seno/cosseno
delta_depth_p50_m,delta_gyro_x_rad_s,IMU e atitude,0.014621997252106667,1.4621997252106667,33,seno/cosseno
delta_depth_p50_m,delta_gyro_y_rad_s,IMU e atitude,0.028113966807723045,2.8113966807723045,6,seno/cosseno
delta_depth_p50_m,delta_gyro_z_rad_s,IMU e atitude,0.00960183423012495,0.960183423012495,49,seno/cosseno
delta_depth_p50_m,delta_accel_x_m_s2,IMU e atitude,0.026164084672927856,2.6164084672927856,9,seno/cosseno
delta_depth_p50_m,delta_accel_y_m_s2,IMU e atitude,0.022971348837018013,2.2971348837018013,11,seno/cosseno
delta_depth_p50_m,delta_accel_z_m_s2,IMU e atitude,0.015632331371307373,1.5632331371307373,28,seno/cosseno
delta_depth_p50_m,delta_smooth_vx_m_s,Movimento,0.017444729804992676,1.7444729804992676,25,seno/cosseno
delta_depth_p50_m,delta_smooth_vy_m_s,Movimento,0.018777921795845032,1.8777921795845032,20,seno/cosseno
delta_depth_p50_m,delta_obstacle_risk,Comandos reativos,0.009783422574400902,0.9783422574400902,48,seno/cosseno
delta_depth_p50_m,delta_avoid_lateral_body,Comandos reativos,0.021318038925528526,2.1318038925528526,14,seno/cosseno
delta_depth_p50_m,delta_avoid_brake,Comandos reativos,0.00956702046096325,0.9567020460963249,50,seno/cosseno
delta_depth_p50_m,flow_valid_points,Optical flow e risco,0.02036835439503193,2.036835439503193,16,seno/cosseno
delta_depth_p50_m,flow_active_points,Optical flow e risco,0.01946919783949852,1.946919783949852,17,seno/cosseno
delta_depth_p50_m,flow_track_retention_pct,Optical flow e risco,0.015502866357564926,1.5502866357564926,30,seno/cosseno
delta_depth_p50_m,flow_mean_x_px,Optical flow e risco,0.01894712634384632,1.894712634384632,19,seno/cosseno
delta_depth_p50_m,flow_mean_y_px,Optical flow e risco,0.030830159783363342,3.0830159783363342,5,seno/cosseno
delta_depth_p50_m,flow_mag_mean_px,Optical flow e risco,0.015609736554324627,1.5609736554324627,29,seno/cosseno
delta_depth_p50_m,flow_mag_p90_px,Optical flow e risco,0.01770012639462948,1.7700126394629478,23,seno/cosseno
delta_depth_p50_m,radial_flow_mean_px,Optical flow e risco,0.0115952268242836,1.15952268242836,42,seno/cosseno
delta_depth_p50_m,radial_flow_p90_px,Optical flow e risco,0.012410448864102364,1.2410448864102364,38,seno/cosseno
delta_depth_p50_m,point_risk_mean_delta_basis,Optical flow e risco,0.013416079804301262,1.3416079804301262,35,seno/cosseno
delta_depth_p50_m,point_risk_p75_delta_basis,Optical flow e risco,0.018012287095189095,1.8012287095189095,22,seno/cosseno
delta_depth_p50_m,img_delta_mean,Diferenca de imagem,0.014881053008139133,1.4881053008139133,32,seno/cosseno
delta_depth_p50_m,img_delta_std,Diferenca de imagem,0.03489340469241142,3.4893404692411423,3,seno/cosseno
delta_depth_p50_m,img_delta_abs_mean,Diferenca de imagem,0.01317078061401844,1.317078061401844,36,seno/cosseno
