modelo,split,alvo_delta,MAE,RMSE,corr,semente,melhor_epoca,epoca_interrupcao,menor_mse_validacao
MLP,validacao,delta_depth_p10_m,0.06344732249155226,0.09485229957245932,0.3379260474468466,7,182,232,0.5145692229270935
MLP,validacao,delta_depth_p50_m,0.19649665555094972,0.2775203097357096,0.48469331775287733,7,182,232,0.5145692229270935
MLP,validacao,delta_depth_p90_m,1.1507763373635767,3.2935068027488086,0.0685069599214553,7,182,232,0.5145692229270935
MLP,validacao,delta_depth_close_2m_pp,1.1788392977443223,1.6601742600645737,0.5646441629799931,7,182,232,0.5145692229270935
MLP,validacao,delta_depth_close_5m_pp,1.321724849544048,1.7341770382113115,0.5644955655877266,7,182,232,0.5145692229270935
MLP,validacao,delta_depth_close_10m_pp,0.8229694684615585,1.1150145469835764,0.5860434398825224,7,182,232,0.5145692229270935
MLP,teste,delta_depth_p10_m,0.09486535271466444,0.2466436842924708,-0.026587026836269775,7,182,232,0.5145692229270935
MLP,teste,delta_depth_p50_m,0.18965818064208043,0.2750995647395576,0.0276647032251925,7,182,232,0.5145692229270935
MLP,teste,delta_depth_p90_m,0.9638591428458235,1.7476698235060868,-0.22557108551294747,7,182,232,0.5145692229270935
MLP,teste,delta_depth_close_2m_pp,1.0979801496389283,1.6863919972065327,0.0066813190959664395,7,182,232,0.5145692229270935
MLP,teste,delta_depth_close_5m_pp,1.8375472878372208,2.953133925443674,0.026307167662248724,7,182,232,0.5145692229270935
MLP,teste,delta_depth_close_10m_pp,0.892528663505026,1.2055694473529988,0.16719848269701065,7,182,232,0.5145692229270935
MLP,validacao,delta_depth_p10_m,0.062326611546142004,0.09057787904472181,0.364037359371081,21,32,82,0.5301152467727661
MLP,validacao,delta_depth_p50_m,0.19989270995206693,0.2862482146573797,0.43563118696886155,21,32,82,0.5301152467727661
MLP,validacao,delta_depth_p90_m,1.159770854288838,3.262216003533127,0.14502897034341436,21,32,82,0.5301152467727661
MLP,validacao,delta_depth_close_2m_pp,1.1361823853793527,1.7446716284467756,0.5528969771556652,21,32,82,0.5301152467727661
MLP,validacao,delta_depth_close_5m_pp,1.389594420885174,1.7895047873886354,0.5188053316899685,21,32,82,0.5301152467727661
MLP,validacao,delta_depth_close_10m_pp,0.8821392088590073,1.1666040361760897,0.5423720920198329,21,32,82,0.5301152467727661
MLP,teste,delta_depth_p10_m,0.08872678624886957,0.23176638739022992,0.22009540832454258,21,32,82,0.5301152467727661
MLP,teste,delta_depth_p50_m,0.17948897800190336,0.2700143402657409,0.1819265340732585,21,32,82,0.5301152467727661
MLP,teste,delta_depth_p90_m,0.9298173297268457,1.562908895345155,0.01460513638518762,21,32,82,0.5301152467727661
MLP,teste,delta_depth_close_2m_pp,1.0235444487981558,1.592897887935862,0.206215199216597,21,32,82,0.5301152467727661
MLP,teste,delta_depth_close_5m_pp,1.7601244119324158,2.855993204780952,0.1804502664844486,21,32,82,0.5301152467727661
MLP,teste,delta_depth_close_10m_pp,0.8161416257902834,1.142903262544696,0.4063636337045855,21,32,82,0.5301152467727661
MLP,validacao,delta_depth_p10_m,0.0676433667978813,0.09745359777294366,0.295680425765524,42,116,166,0.530565083026886
MLP,validacao,delta_depth_p50_m,0.19678962808102368,0.2756361146208633,0.4993719443503539,42,116,166,0.530565083026886
MLP,validacao,delta_depth_p90_m,1.201333108853642,3.3194825391325904,0.03772575641904064,42,116,166,0.530565083026886
MLP,validacao,delta_depth_close_2m_pp,1.1978100406351802,1.7001135651805153,0.5277182258328608,42,116,166,0.530565083026886
MLP,validacao,delta_depth_close_5m_pp,1.4182106781901573,1.8258094241030858,0.4814747740668539,42,116,166,0.530565083026886
MLP,validacao,delta_depth_close_10m_pp,0.8463452151436393,1.1491242290998227,0.5816352723275913,42,116,166,0.530565083026886
MLP,teste,delta_depth_p10_m,0.09632765321739462,0.2484123429655712,-0.07368877404569149,42,116,166,0.530565083026886
MLP,teste,delta_depth_p50_m,0.185302600462703,0.28011645540783603,0.004709174612772379,42,116,166,0.530565083026886
MLP,teste,delta_depth_p90_m,0.923135912076798,1.653643080663381,-0.21029500245018518,42,116,166,0.530565083026886
MLP,teste,delta_depth_close_2m_pp,1.0490709682790305,1.7509971052125335,-0.11383722089458852,42,116,166,0.530565083026886
MLP,teste,delta_depth_close_5m_pp,1.8219351858622643,2.986273489236605,-0.01959593397602425,42,116,166,0.530565083026886
MLP,teste,delta_depth_close_10m_pp,0.8544717183210602,1.1699400277304979,0.28973086714198487,42,116,166,0.530565083026886
MLP,validacao,delta_depth_p10_m,0.06367303980569178,0.09210676733007296,0.33754039519150564,84,22,72,0.5290791988372803
MLP,validacao,delta_depth_p50_m,0.2013256567365983,0.28469772794551806,0.4864225745118477,84,22,72,0.5290791988372803
MLP,validacao,delta_depth_p90_m,1.1526313451175905,3.2503122097969093,0.1780550285889649,84,22,72,0.5290791988372803
MLP,validacao,delta_depth_close_2m_pp,1.120390941079035,1.7302517247286553,0.5612190390195944,84,22,72,0.5290791988372803
MLP,validacao,delta_depth_close_5m_pp,1.3509588505785146,1.785555392044136,0.5386664122531079,84,22,72,0.5290791988372803
MLP,validacao,delta_depth_close_10m_pp,0.8709211434408002,1.1815864649373484,0.5736223357738722,84,22,72,0.5290791988372803
MLP,teste,delta_depth_p10_m,0.09112127768098484,0.23511827751535955,0.16516560343113132,84,22,72,0.5290791988372803
MLP,teste,delta_depth_p50_m,0.1751227571153419,0.26656599913029283,0.2042163949699491,84,22,72,0.5290791988372803
MLP,teste,delta_depth_p90_m,0.9258965420762096,1.6097739597097849,-0.1703655575554315,84,22,72,0.5290791988372803
MLP,teste,delta_depth_close_2m_pp,1.0586362442217192,1.6538097079295047,0.07987444003163591,84,22,72,0.5290791988372803
MLP,teste,delta_depth_close_5m_pp,1.7378282747955924,2.8001568708601563,0.25030348384624496,84,22,72,0.5290791988372803
MLP,teste,delta_depth_close_10m_pp,0.828562366184958,1.1331179034216272,0.4247357429581666,84,22,72,0.5290791988372803
MLP,validacao,delta_depth_p10_m,0.0651064434368162,0.09214269875006244,0.3265808978231047,123,26,76,0.5289125442504883
MLP,validacao,delta_depth_p50_m,0.19959483995814534,0.28654065892917857,0.43257710706777897,123,26,76,0.5289125442504883
MLP,validacao,delta_depth_p90_m,1.1474670574509647,3.2165891764415813,0.2662153761015869,123,26,76,0.5289125442504883
MLP,validacao,delta_depth_close_2m_pp,1.187382204780314,1.7438189866419478,0.5066233317403704,123,26,76,0.5289125442504883
