modelo,split,alvo_delta,MAE,RMSE,corr,marco_runs,estrategia_split,representacao_angular
MLP,treino,delta_depth_p10_m,0.05693512479160903,0.10558641621909372,0.6282925541026722,9,validacao_teste_fixos,Valor angular
MLP,treino,delta_depth_p50_m,0.1295482870013479,0.1889237270582128,0.7600234427055346,9,validacao_teste_fixos,Valor angular
MLP,treino,delta_depth_p90_m,1.0050285503363436,1.9163508026742824,0.6338172611388089,9,validacao_teste_fixos,Valor angular
MLP,treino,delta_depth_close_2m_pp,0.9847995124992193,1.4433560069497977,0.6661823700078972,9,validacao_teste_fixos,Valor angular
MLP,treino,delta_depth_close_5m_pp,1.1316227074564469,1.692550098813633,0.7044500956378337,9,validacao_teste_fixos,Valor angular
MLP,treino,delta_depth_close_10m_pp,0.7195508378278342,0.9519460869337927,0.6299684189804673,9,validacao_teste_fixos,Valor angular
MLP,validacao,delta_depth_p10_m,0.06465217404724881,0.09253838006210273,0.23737013279149247,9,validacao_teste_fixos,Valor angular
MLP,validacao,delta_depth_p50_m,0.21096064416034258,0.29637915763625894,0.355615225765267,9,validacao_teste_fixos,Valor angular
MLP,validacao,delta_depth_p90_m,1.1982528677650834,3.186400976872349,0.3034077237806186,9,validacao_teste_fixos,Valor angular
MLP,validacao,delta_depth_close_2m_pp,1.233072206074276,1.8830619095562462,0.32112823327483525,9,validacao_teste_fixos,Valor angular
MLP,validacao,delta_depth_close_5m_pp,1.5350854057306766,1.9617776860306895,0.38190640038124485,9,validacao_teste_fixos,Valor angular
MLP,validacao,delta_depth_close_10m_pp,0.9387095535525826,1.3002495276687986,0.23518131802421868,9,validacao_teste_fixos,Valor angular
MLP,teste,delta_depth_p10_m,0.08909616451735002,0.23087224356826178,0.2681695800098216,9,validacao_teste_fixos,Valor angular
MLP,teste,delta_depth_p50_m,0.19977129803366087,0.2919863691511678,0.11912004698164595,9,validacao_teste_fixos,Valor angular
MLP,teste,delta_depth_p90_m,0.9705905086606087,1.6492590050178964,-0.1096332680408762,9,validacao_teste_fixos,Valor angular
MLP,teste,delta_depth_close_2m_pp,1.0440985844504618,1.5522871480188953,0.3098156850422933,9,validacao_teste_fixos,Valor angular
MLP,teste,delta_depth_close_5m_pp,1.885267057558249,2.8629411408150887,0.2139851812179552,9,validacao_teste_fixos,Valor angular
MLP,teste,delta_depth_close_10m_pp,0.9380761165869425,1.2706711869546976,0.0983019625887537,9,validacao_teste_fixos,Valor angular
MLP,treino,delta_depth_p10_m,0.06814778185216,0.12275874383601115,0.8795314778877631,17,validacao_teste_fixos,Valor angular
MLP,treino,delta_depth_p50_m,0.1595238194516723,0.24739068219384158,0.7935578664776419,17,validacao_teste_fixos,Valor angular
MLP,treino,delta_depth_p90_m,1.1876452023041428,2.238435823942442,0.7121262393487487,17,validacao_teste_fixos,Valor angular
MLP,treino,delta_depth_close_2m_pp,1.1804784940099835,1.8185490328219192,0.8261426627518732,17,validacao_teste_fixos,Valor angular
MLP,treino,delta_depth_close_5m_pp,1.2230837658186096,1.8158391290153844,0.8500971721078764,17,validacao_teste_fixos,Valor angular
MLP,treino,delta_depth_close_10m_pp,0.7833202122702425,1.106773563696083,0.7260918822483171,17,validacao_teste_fixos,Valor angular
MLP,validacao,delta_depth_p10_m,0.0583342665220143,0.09066253772067168,0.34203646009424754,17,validacao_teste_fixos,Valor angular
MLP,validacao,delta_depth_p50_m,0.1944628353285439,0.27903440344558833,0.4772472593733978,17,validacao_teste_fixos,Valor angular
MLP,validacao,delta_depth_p90_m,1.2219227353770667,3.306464570047249,0.04736365753236316,17,validacao_teste_fixos,Valor angular
MLP,validacao,delta_depth_close_2m_pp,1.0806682706300361,1.5920168536503674,0.6529144553074328,17,validacao_teste_fixos,Valor angular
MLP,validacao,delta_depth_close_5m_pp,1.3298318603314008,1.7756363325216253,0.5375689246848313,17,validacao_teste_fixos,Valor angular
MLP,validacao,delta_depth_close_10m_pp,0.887306212561859,1.189008098758652,0.5008973505722611,17,validacao_teste_fixos,Valor angular
MLP,teste,delta_depth_p10_m,0.09694403897342006,0.25117557165716337,-0.023917435079139106,17,validacao_teste_fixos,Valor angular
MLP,teste,delta_depth_p50_m,0.19402507744095426,0.27739392076265385,0.17352424099537014,17,validacao_teste_fixos,Valor angular
MLP,teste,delta_depth_p90_m,1.104861114024274,1.8950038368161255,-0.13898625291234892,17,validacao_teste_fixos,Valor angular
MLP,teste,delta_depth_close_2m_pp,1.1604386873164294,1.935422919235031,-0.0769841651116801,17,validacao_teste_fixos,Valor angular
MLP,teste,delta_depth_close_5m_pp,1.8749752316711856,2.9362127319105746,0.1405316708859758,17,validacao_teste_fixos,Valor angular
MLP,teste,delta_depth_close_10m_pp,0.831541783569419,1.1672909509917768,0.32822982307403403,17,validacao_teste_fixos,Valor angular
MLP,treino,delta_depth_p10_m,0.08978574956123142,0.21438148170204047,0.5229872183568454,25,validacao_teste_fixos,Valor angular
MLP,treino,delta_depth_p50_m,0.20927494548887796,0.3317908804939451,0.5446192316082515,25,validacao_teste_fixos,Valor angular
MLP,treino,delta_depth_p90_m,1.34978395338922,2.9716835284927763,0.3445546164670151,25,validacao_teste_fixos,Valor angular
MLP,treino,delta_depth_close_2m_pp,1.4702150523156563,2.714664697779403,0.4105731564073491,25,validacao_teste_fixos,Valor angular
MLP,treino,delta_depth_close_5m_pp,1.6090791664376616,2.6942674481395823,0.6121019835358882,25,validacao_teste_fixos,Valor angular
MLP,treino,delta_depth_close_10m_pp,0.968890756108011,1.4490340532794899,0.5098179161129978,25,validacao_teste_fixos,Valor angular
