alvo_delta,grupo_removido,delta_MAE_pct_medio,delta_MAE_pct_desvio,delta_MAE_pct_minimo,delta_MAE_pct_maximo
delta_depth_close_10m_pp,Comandos reativos,-0.3006615183207708,2.3271099319709205,-1.7022422629931322,2.385605924545426
delta_depth_close_10m_pp,Diferenca de imagem,-0.8171314596567165,1.8863950551193678,-2.994040825025467,0.33678706958566346
delta_depth_close_10m_pp,IMU e atitude,7.88569222017873,4.173321427830448,3.986837470560888,12.287834513404702
delta_depth_close_10m_pp,Movimento,2.4895443586091575,4.459713630585426,-2.2625554930188914,6.583792735402275
delta_depth_close_10m_pp,Optical flow e risco,1.4424940208946169,1.7468785743973754,0.2784196574595119,3.451164621183133
delta_depth_close_10m_pp,Sincronizacao,1.2918347062436506,0.8051810187676306,0.6293822673723981,2.188024683507004
delta_depth_close_2m_pp,Comandos reativos,3.618363889127776,3.1584499169911093,1.3284198789393213,7.2215716845384375
delta_depth_close_2m_pp,Diferenca de imagem,2.2344607138369685,4.040149258701069,-1.1488764446683135,6.707779574216058
delta_depth_close_2m_pp,IMU e atitude,12.879393195177869,2.64773221066188,10.690316461725875,15.822293850707336
delta_depth_close_2m_pp,Movimento,4.535012875382436,0.749806884189827,3.79317219674944,5.292539822534933
delta_depth_close_2m_pp,Optical flow e risco,0.19967128491772237,3.25521243611176,-3.5480694143001617,2.3230165687105235
delta_depth_close_2m_pp,Sincronizacao,4.15578702856059,3.5197476682023554,0.7093973993564582,7.744570903111704
delta_depth_close_5m_pp,Comandos reativos,2.0212072130482874,2.9995169225397422,-0.2834522088279932,5.412623898730811
delta_depth_close_5m_pp,Diferenca de imagem,-0.12468567900674854,2.7770425413361006,-3.3299307163117997,1.5602075179824384
delta_depth_close_5m_pp,IMU e atitude,7.28466025651763,0.7921825600667056,6.496813427081059,8.081108500884842
delta_depth_close_5m_pp,Movimento,-0.754029630798693,1.5238323073774385,-2.1777368441937783,0.8532893459173382
delta_depth_close_5m_pp,Optical flow e risco,-1.0082159426615296,3.5978991306987917,-4.750232630196825,2.4257580076818526
delta_depth_close_5m_pp,Sincronizacao,0.16160922190747007,2.1453155755219933,-2.289698304168279,1.6966130746989352
delta_depth_p10_m,Comandos reativos,0.6640114725395143,3.903458556871214,-3.124075442864794,4.673424128802077
delta_depth_p10_m,Diferenca de imagem,-2.7679413129253803,3.3734636273364176,-5.6911271729746264,0.9233366095741645
delta_depth_p10_m,IMU e atitude,4.923760419041052,6.5670981929023595,-1.1397501066750397,11.899138223879891
delta_depth_p10_m,Movimento,-5.086847275559436,3.151214803278983,-7.999768003939874,-1.741915476839882
delta_depth_p10_m,Optical flow e risco,-2.6978983546565978,3.0465932265342985,-5.527943125228456,0.5267829032856745
delta_depth_p10_m,Sincronizacao,0.9137958930873208,2.3922536882174046,-0.8664150197294687,3.633112802063675
delta_depth_p50_m,Comandos reativos,2.7312685194149235,2.954654402755376,-0.3270206157884831,5.570044070860674
delta_depth_p50_m,Diferenca de imagem,2.837890643622584,2.723568484597698,-0.3038811499730467,4.530340466068477
delta_depth_p50_m,IMU e atitude,9.744993267519915,3.2370664204783783,6.07077362232157,12.176814372774476
delta_depth_p50_m,Movimento,0.8083136020467169,3.3512396621500966,-2.1300286934016697,4.4581763119255
delta_depth_p50_m,Optical flow e risco,3.1146309254193376,1.8245685265891185,1.4554919550339709,5.068697505286359
delta_depth_p50_m,Sincronizacao,1.4545146827509428,0.9331762558485094,0.5209260055094433,2.387277969665775
delta_depth_p90_m,Comandos reativos,1.5283216091466862,1.7915484994914688,-0.48049602210938097,2.960672966824708
delta_depth_p90_m,Diferenca de imagem,-4.337291371858411,2.4875926240173345,-6.294350023087479,-1.5378946321242923
delta_depth_p90_m,IMU e atitude,-1.8882420908034936,4.063858729433143,-6.25714439794917,1.779269157894572
delta_depth_p90_m,Movimento,-2.235097393339402,3.9327412600987044,-5.096737750871286,2.2493623625527173
delta_depth_p90_m,Optical flow e risco,-1.029493158242029,2.588658673610762,-3.877050656802915,1.1815059844178544
delta_depth_p90_m,Sincronizacao,-0.020826578628730125,3.937487876274551,-2.5162253797422403,4.518308586660495
