modelo,split,alvo_delta,MAE,RMSE,corr,marco_runs,estrategia_split
Media treino,validacao,delta_depth_p90_m,1.1528609441692417,3.291507252453393,,17,validacao_teste_fixos
Media treino,validacao,delta_depth_close_2m_pp,1.2147813784436012,1.9824714107974775,,17,validacao_teste_fixos
Media treino,validacao,delta_depth_close_5m_pp,1.5526147549400695,2.081239246603631,,17,validacao_teste_fixos
Media treino,validacao,delta_depth_close_10m_pp,0.9592252886773405,1.3362360393633377,,17,validacao_teste_fixos
MLP,teste,delta_depth_p10_m,0.09694403897342006,0.25117557165716337,-0.023917435079139106,17,validacao_teste_fixos
MLP,teste,delta_depth_p50_m,0.19402507744095426,0.27739392076265385,0.17352424099537014,17,validacao_teste_fixos
MLP,teste,delta_depth_p90_m,1.104861114024274,1.8950038368161255,-0.13898625291234892,17,validacao_teste_fixos
MLP,teste,delta_depth_close_2m_pp,1.1604386873164294,1.935422919235031,-0.0769841651116801,17,validacao_teste_fixos
MLP,teste,delta_depth_close_5m_pp,1.8749752316711856,2.9362127319105746,0.1405316708859758,17,validacao_teste_fixos
MLP,teste,delta_depth_close_10m_pp,0.831541783569419,1.1672909509917768,0.32822982307403403,17,validacao_teste_fixos
Media treino,teste,delta_depth_p10_m,0.08672223588906881,0.2378459676222928,,17,validacao_teste_fixos
Media treino,teste,delta_depth_p50_m,0.18985387554114802,0.271496442140149,,17,validacao_teste_fixos
Media treino,teste,delta_depth_p90_m,0.8365950721992094,1.5205221772492048,,17,validacao_teste_fixos
Media treino,teste,delta_depth_close_2m_pp,1.0942124646882394,1.61637149094038,,17,validacao_teste_fixos
Media treino,teste,delta_depth_close_5m_pp,1.8510271435415246,2.880224722611443,,17,validacao_teste_fixos
Media treino,teste,delta_depth_close_10m_pp,0.9263510369423309,1.2441157560025138,,17,validacao_teste_fixos
MLP,treino,delta_depth_p10_m,0.08978574956123142,0.21438148170204047,0.5229872183568454,25,validacao_teste_fixos
MLP,treino,delta_depth_p50_m,0.20927494548887796,0.3317908804939451,0.5446192316082515,25,validacao_teste_fixos
