timestamp,x,y,z,roll_speed,pitch_speed,yaw_speed,obstacle_risk,avoid_lateral_body,avoid_brake,evasao_visual_ativa,pan_comp_delta_rad,pan_comp_source
1779074958.290097,0.03818078,0.034810506,-0.027297974,0.0011832467,0.0009055661,0.00061505084,0.0,0.0,0.0,1,0.0,none
1779074958.298097,0.038004197,0.034463014,-0.027133942,0.00044322183,-6.186844e-05,-0.0003345056,0.0,0.0,0.0,1,0.0,none
1779074958.306097,0.037828583,0.03411852,-0.02696991,0.00091814104,0.0004415596,-0.00014789647,0.0,0.0,0.0,1,0.0,none
1779074958.314097,0.037654217,0.033777107,-0.026809692,0.0012959096,-1.7192392e-06,-0.0017600772,0.0,0.0,0.0,1,0.0,none
1779074958.322097,0.03748161,0.033427283,-0.026638031,0.0013654822,0.0006369923,-0.00076265726,0.0,0.0,0.0,1,0.0,none
1779074958.338097,0.037139636,0.032737188,-0.026317596,-0.00023645915,-0.001260747,-5.552092e-06,0.0,0.0,0.0,1,0.0,none
1779074958.346097,0.03697042,0.032396745,-0.026165009,0.00016027957,0.0013344747,0.0003809672,0.0,0.0,0.0,1,0.0,none
1779074958.354097,0.036808033,0.032060213,-0.025985718,0.00064842525,-0.00036957432,-0.00051996426,0.0,0.0,0.0,1,0.0,none
1779074958.362097,0.036646694,0.031727068,-0.025814056,0.0011001419,-0.00021736669,-0.0003812889,0.0,0.0,0.0,1,-0.0,none
1779074958.378097,0.036327217,0.031069895,-0.025478363,0.00025161752,-0.0006732875,-4.3807984e-05,0.0,0.0,0.0,1,-0.0,none
1779074958.386097,0.036169093,0.0307453,-0.025314331,0.00095664844,4.2134583e-05,0.0003152148,0.0,0.0,0.0,1,-0.0,none
1779074958.394097,0.03602581,0.030431338,-0.025131226,0.00055807433,0.00036127193,-0.00012167689,0.0,0.0,0.0,1,-0.0,none
1779074958.402097,0.035883702,0.030119894,-0.02494812,-0.00022629801,-0.0004167524,0.00015968792,0.0,0.0,0.0,1,-0.0,none
1779074958.418097,0.035601996,0.029504163,-0.024600983,-0.00054426456,0.0003399502,-0.0010067701,0.0,0.0,0.0,1,-0.0,none
1779074958.426097,0.03549041,0.02921287,-0.024394989,-0.00068430806,6.1969455e-05,-0.0009564264,0.0,0.0,0.0,1,-0.0,none
1779074958.434097,0.03537965,0.028923687,-0.024196625,-0.00056324305,-0.00020175937,0.00036128523,0.0,0.0,0.0,1,-0.0,none
1779074958.450097,0.035160154,0.028350016,-0.023803711,-0.00025393252,-0.00025681997,0.00015790024,0.0,0.0,0.0,1,-0.0,none
1779074958.458097,0.035069797,0.028082559,-0.023571014,-0.000109655004,-0.0006435369,0.00040533682,0.0,0.0,0.0,1,-0.0,none
1779074958.466097,0.034979634,0.027816221,-0.023342133,-0.0002567067,-0.00034021153,0.0010262484,0.0,0.0,0.0,1,-0.0,none
1779074958.474097,0.034889996,0.027551005,-0.023117065,-0.00036229193,0.00020549702,0.0009545483,0.0,0.0,0.0,1,-0.0,none
1779074958.490097,0.03471718,0.02702952,-0.022655487,0.00042312068,-1.487122e-05,2.0314486e-05,0.0,0.0,0.0,1,-0.0,none
1779074958.498097,0.03463474,0.026773466,-0.022418976,0.00011066666,-0.0011579914,-0.00011092572,0.0,0.0,0.0,1,-8.411463536322124e-06,attitude+gyro
1779074958.506097,0.034552973,0.026518883,-0.022190094,-0.00024092618,-0.00024300272,0.00028336307,0.0,0.0,0.0,1,-8.411463536322124e-06,attitude+gyro
1779074958.514097,0.034471177,0.026265642,-0.021953583,-0.0005648559,-0.00071532873,0.00026366525,0.0,0.0,0.0,1,-8.411463536322124e-06,attitude+gyro
1779074958.522097,0.034392804,0.026017506,-0.021713257,8.562976e-05,0.00013445776,-0.000118918644,0.0,0.0,0.0,1,-1.6822927072644248e-05,attitude+gyro
1779074958.538097,0.034236103,0.025523407,-0.021240234,-0.00020426139,-9.5762785e-05,0.0010330045,0.0,0.0,0.0,1,-1.6822927072644248e-05,attitude+gyro
1779074958.546097,0.03415779,0.025277246,-0.021015167,-8.932772e-05,0.00042775643,-0.0004510438,0.0,0.0,0.0,1,-1.6822927072644248e-05,attitude+gyro
1779074958.554097,0.034091603,0.025047917,-0.02078247,7.7894125e-05,0.000928866,0.00033741837,0.0,0.0,0.0,1,-1.7874360014684397e-05,attitude+gyro
1779074958.562097,0.03402554,0.024819491,-0.020557404,-0.0002940163,0.00026105036,-0.00023124124,0.0,0.0,0.0,1,-1.7874360014684397e-05,attitude+gyro
1779074958.570097,0.033959586,0.024591751,-0.020347595,0.0005115549,0.00032058466,-3.5018835e-05,0.0,0.0,0.0,1,-1.7874360014684397e-05,attitude+gyro
1779074958.586097,0.03384299,0.024151897,-0.01992035,0.00013178827,0.00012962418,-5.664739e-05,0.0,0.0,0.0,1,-8.411463536322124e-06,attitude+gyro
1779074958.594097,0.03379186,0.023939567,-0.019706726,4.934727e-05,-0.00041082499,-0.00035154147,0.0,0.0,0.0,1,-8.411463536322124e-06,attitude+gyro
