timestamp,x,y,z,roll_speed,pitch_speed,yaw_speed
1776120038.6385,0.017349558,-0.0026827615,-0.09325409,-0.0007018537,-0.00029883202,-0.0004337674
1776120038.6465,0.017312353,-0.0025893336,-0.09326172,0.00064207194,-0.0005423752,-0.00032384638
1776120038.6545,0.017273445,-0.0024951126,-0.09326935,5.264078e-05,1.4497293e-05,-0.000672177
1776120038.6705,0.0171907,-0.002327662,-0.09326935,-0.0001540774,-0.00034571398,-0.0007058669
1776120038.6785,0.01714711,-0.0022428862,-0.09326553,-0.0010038184,0.00046716564,-0.0015623374
1776120038.6945,0.017057154,-0.002075593,-0.09325409,0.00041504673,-7.638975e-05,-1.8410743e-05
1776120038.7025,0.017010687,-0.0019933137,-0.093242645,-0.00044044026,-0.0002705914,-3.4052304e-05
1776120038.7105,0.016962321,-0.0019101469,-0.093235016,1.7172551e-05,-0.00049373717,0.0005789046
1776120038.7185,0.016912127,-0.0018260655,-0.09322739,-0.00028792323,-0.00012815827,0.0011428527
1776120038.7265,0.016864453,-0.0017475078,-0.09320068,-0.00010019382,-0.000313288,-0.00039275092
1776120038.7425,0.01676472,-0.0015875362,-0.09315491,7.565216e-05,-2.7954504e-05,0.00080889853
1776120038.7505,0.016712602,-0.0015063065,-0.09313202,-0.00022796683,-8.149222e-06,0.0001373022
1776120038.7585,0.016672125,-0.0014408976,-0.09311676,-0.0002006523,0.00011743289,3.5194356e-05
1776120038.7665,0.016630374,-0.0013742055,-0.093105316,-0.0012325484,-7.1274364e-05,-0.00065625104
1776120038.7745,0.016586917,-0.0013064527,-0.09309387,0.000360359,0.0003499265,-0.0017801647
1776120038.7905,0.016495474,-0.0011679963,-0.09309769,0.0011263059,-2.739949e-05,-0.0006653376
1776120038.7985,0.016471546,-0.0011109067,-0.093112946,0.00014128625,-0.00045692406,-7.715396e-05
1776120038.8065,0.016445853,-0.0010525296,-0.09312439,0.00012667096,-0.0004901911,0.0005033653
1776120038.8225,0.016389238,-0.0009327143,-0.09315491,0.0007061494,0.0003065509,0.00022301341
1776120038.8305,0.016398313,-0.0008768338,-0.09318161,-4.085827e-05,0.0003068494,-6.2404964e-05
1776120038.8385,0.016405014,-0.000819724,-0.0932045,-0.00044482583,0.001059153,-0.00062104757
1776120038.8545,0.016411169,-0.0007021695,-0.09329224,-0.00071942306,-0.00085127883,0.000110166075
1776120038.8625,0.016436182,-0.0006549005,-0.09334564,-0.00019928913,-0.00048392743,-0.00039438836
1776120038.8705,0.016458971,-0.00060659327,-0.09339523,0.0006251146,0.0005942307,7.950275e-05
1776120038.8785,0.016479544,-0.00055707706,-0.093444824,-0.0002027587,0.00020212789,-0.00082939933
1776120038.8865,0.016497893,-0.0005061315,-0.093494415,-0.0011009888,-0.00031257063,-0.00010653261
1776120038.9025,0.016572885,-0.0004261603,-0.093639374,-0.00024218964,-0.00020373837,-0.000509932
1776120038.9105,0.016606608,-0.00038382405,-0.0937233,-0.00012402765,0.00030823267,0.00042068804
1776120038.9185,0.016638257,-0.00034019788,-0.09380722,-0.000107729305,0.00030179176,-0.00013245706
1776120038.9265,0.016675835,-0.0003087721,-0.09391022,0.00021123915,-8.433619e-05,-0.00020815078
1776120038.9425,0.01674446,-0.00024198336,-0.09411621,0.00015183841,0.0004977753,-0.0002055201
1776120038.9505,0.016775683,-0.00020619115,-0.09421539,-0.0003293804,-0.00045635997,-0.0005302258
1776120038.9585,0.016813943,-0.00017288442,-0.09433365,-0.0008800936,0.00045272085,-9.293437e-06
1776120038.9665,0.016849939,-0.00013830124,-0.094429016,-0.0005430333,0.0007968385,-0.00019283933
1776120038.9825,0.01691603,-6.512802e-05,-0.09461594,0.00024302922,0.0003930155,-0.0005164222
1776120038.9905,0.016951283,-2.5171626e-05,-0.09473419,9.72127e-05,3.9683935e-05,-0.00045036664
1776120038.9985,0.016984273,1.6214024e-05,-0.09485245,-0.00018919395,-0.0004437004,0.00019352489
1776120039.0065,0.017015195,5.9006466e-05,-0.0949707,-6.758294e-05,0.0004766415,-0.00027921618
1776120039.0225,0.017059058,0.00014955107,-0.09523392,-0.00035755613,8.3986684e-05,3.5538633e-05
1776120039.0305,0.01707286,0.00019747176,-0.0953598,-0.00018433866,0.00058212393,0.00043470523
1776120039.0385,0.017085845,0.00024723072,-0.09548569,0.0003403662,0.0009498179,8.8032604e-05
1776120039.0545,0.017108059,0.00035182748,-0.09572983,9.601718e-05,0.0008601591,0.0001305805
1776120039.0625,0.017111538,0.00040148533,-0.0958786,-5.2257536e-05,0.0005897326,0.00013003062
1776120039.0705,0.017114036,0.00045260612,-0.096019745,-0.0014063863,-0.0006418711,-0.0007383027
1776120039.0785,0.017115738,0.00050549104,-0.0961647,-0.000703324,-0.00074985,6.737531e-05
1776120039.0865,0.01711685,0.0005597288,-0.09629059,0.0003078958,0.00057153637,0.0018086627
1776120039.1025,0.017092917,0.0006313784,-0.09656143,0.00059829175,0.00013840919,-0.00012940045
1776120039.1105,0.017079957,0.00066958414,-0.09669495,0.00028724864,0.0003371523,-5.0805378e-05
1776120039.1185,0.017066248,0.00070950907,-0.09682846,0.0005979049,0.00018710487,-0.00061384274
1776120039.1265,0.017036727,0.00073556387,-0.09696579,-0.00019779941,0.0010632481,0.0004586386
1776120039.1425,0.016977021,0.0007929501,-0.09723282,0.0006271883,-0.00070000807,-0.0005201717
1776120039.1505,0.016946558,0.00082402525,-0.09737396,0.0004334212,0.00058625743,-0.001168126
1776120039.1585,0.016903114,0.00083739875,-0.09751892,0.0004950603,-0.00015364558,9.443257e-05
1776120039.1665,0.016859788,0.00085283525,-0.097660065,-0.00047861808,6.0466486e-05,0.00017713115
1776120039.1745,0.016816417,0.00087005825,-0.09780121,-0.00095101487,-0.00013961626,-6.933974e-05
1776120039.1905,0.016710222,0.0009009964,-0.09807587,0.00023725332,0.00044777422,-2.8924715e-05
1776120039.1985,0.01664728,0.000914689,-0.09820938,-0.00013032582,0.000105198145,0.00097239396
1776120039.2065,0.016583852,0.0009304918,-0.09835434,0.0010235509,-0.000385302,-9.90795e-06
1776120039.2225,0.01643199,0.0009663761,-0.098651886,0.00062734087,0.00071360206,-0.0003509275
1776120039.2305,0.016344212,0.000986152,-0.098804474,0.00017295215,-0.0009028039,-0.00047727584
1776120039.2385,0.016256861,0.0010076292,-0.09895325,0.00028397326,0.0010817967,0.0004923064
1776120039.2465,0.016169779,0.0010309176,-0.099098206,0.0014939877,-3.914636e-05,9.525291e-05
1776120039.2625,0.015957417,0.0010669479,-0.099407196,-0.00039161643,-0.00025261717,0.0008732384
1776120039.2705,0.01585151,0.0010870723,-0.09955597,-0.0008196221,0.00040723576,-7.613976e-05
1776120039.2785,0.015746059,0.001108819,-0.09970474,0.0003264108,5.9980666e-05,0.00092108344
1776120039.2865,0.01563896,0.0011220577,-0.099861145,-0.0010594757,0.00014390289,6.064745e-05
1776120039.3025,0.015425874,0.0011532295,-0.100162506,-0.0001566728,0.0007537541,0.0006580126
1776120039.3105,0.015319718,0.0011712615,-0.100315094,0.0007998359,0.00043539485,-0.001289082
1776120039.3185,0.015213868,0.0011907207,-0.10046005,-0.00025852304,5.3583026e-05,-0.0009958617
1776120039.3265,0.015111068,0.0012221059,-0.100608826,-0.0014935505,0.0006893382,-0.00023096529
1776120039.3425,0.014906061,0.0012886453,-0.10089874,1.4044883e-05,-0.00021993004,0.0009687349
